NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT
3,1,2,89,7,1,0,0,0,0,0,0,0,9,1,1,0,0,1,26,56,0,0,0,1,0.0934065934,0.5111111111,0,1,0,0,0,0.0274725275,0,0,0,0,0,1,0,0,1,-1,1,1,0,1
3,0,4,58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,27,0,0,0,0,0.0,0.6428571429,1,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,-1,1,0,-1
1,0,5,76,7,0,0,0,0,0,0,0,0,8,1,1,0,0,0,10,59,0,0,0,0,0.2297297297,0.9861111111,1,1,1,0,0,0.1306306306,0,0,0,1,0,1,0,0,1,-1,-1,1,-1,0
6,1,4,72,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,27,38,0,0,1,1,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1
1,0,2,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,17,0,0,0,0,0.0,0.3125,0,1,1,0,0,0.1111111111,0,0,0,0,1,0,0,0,1,1,1,1,0,1
2,1,7,96,0,0,0,0,2,0,0,0,0,6,1,1,0,0,1,21,68,0,0,0,0,0.0290178571,0.5384615385,0,1,0,0,0,0.0446428571,0,0,0,0,0,1,0,0,1,-1,0,1,0,1
1,0,3,74,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,50,0,0,0,0,0.2714285714,0.3333333333,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
2,1,7,91,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,18,66,0,0,0,0,0.0,0.0,0,1,1,0,0,0.4545454545,0,0,0,0,0,0,0,0,1,-1,1,1,1,0
1,0,3,48,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,11,30,0,0,0,0,0.1294117647,0.2222222222,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
1,0,4,38,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,17,14,0,0,0,0,0.0072992701,0.325,0,1,0,0,0,0.9343065693,0,0,0,0,0,1,0,0,1,1,1,1,0,-1
1,0,5,67,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,17,43,0,0,0,0,0.9397590361,1.0,1,1,0,1,0,0.0602409639,1,0,0,0,0,1,0,0,1,0,-1,0,-1,-1
3,1,2,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,17,0,0,0,1,0.9828571429,1.0,1,1,1,1,0,0.0114285714,1,0,0,0,0,0,0,0,1,1,-1,0,-1,-1
2,0,3,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,26,0,0,0,0,0.9230769231,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1
2,1,3,94,1,0,0,0,0,0,0,0,0,21,1,1,0,0,0,29,58,0,0,1,0,0.0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,1,-1,1,1,1,1
2,1,2,56,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,40,8,0,0,0,0,0.0,0.0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1
3,1,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,26,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
2,1,3,59,0,0,0,0,0,2,0,0,0,6,1,1,0,0,0,22,30,0,0,0,0,0.0,0.0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1
2,1,3,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,12,0,0,0,0,0.0,0.4285714286,1,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1,1,1,0,-1
3,1,1,55,0,0,0,0,0,0,2,1,0,6,1,0,0,0,0,24,11,12,0,0,0,0.2978723404,0.8333333333,0,1,0,1,0,0.0,0,0,0,0,0,1,0,1,1,0,-1,0,0,1
2,0,1,83,2,0,0,0,0,0,3,2,0,13,1,0,0,0,0,21,9,45,0,0,0,0.1630434783,0.1666666667,0,1,0,0,0,0.0108695652,0,0,0,0,0,0,0,0,1,-1,1,1,0,1
3,1,3,44,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,17,20,0,0,0,0,0.0,0.0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3,0,3,51,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,24,7,0,1,0,1.0,0.5,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,0,-1
3,1,4,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,22,40,0,0,0,1,0.9375,0.0769230769,1,1,1,1,1,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,-1
2,1,5,76,4,0,0,0,0,0,0,0,0,6,1,1,0,0,1,18,51,0,0,0,0,0.0625,0.7111111111,0,1,1,0,1,0.0277777778,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,1
3,1,5,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,37,0,0,0,0,0.9090909091,0.3846153846,1,1,0,0,0,0.0909090909,0,0,0,0,0,1,0,0,1,0,0,1,0,-1
1,0,6,67,4,0,0,0,0,0,0,0,0,8,1,1,0,0,1,16,44,0,0,0,0,0.0701754386,0.2727272727,0,1,0,1,0,0.2456140351,0,0,0,0,1,1,0,0,1,0,0,0,0,0
